Rank_year,Rank_yearPrev,Company,Notes,Country,ArmsRevenue_year,ArmsRevenue_yearPrev,TotalRevenue_year,ArmsRevenue_pctTotRevenue_year,ArmsRevenue_yearPrev_constant2022Prices,Year
84,92,QinetiQ,United Kingdom,1240,1030,1638,0.757020757020757,1333.9730223800955,1124.7609012773448,2020
85,85,Moog,United States,1200,1090,2885,0.41594454072790293,1357.541730165794,1248.311739086244,2020
86,82,Nexter,France,1190,1170,1254,0.94896331738437,1180.8933634735454,1187.7216167461966,2020
87,96,Hanwha Corp.,South Korea,1170,990,3398,0.3443201883460859,1155.7234049156195,971.4814037126351,2020
88,86,Pacific Architects and Engineers,United States,1090,1080,2715,0.4014732965009208,1233.1004049005962,1236.8593378102235,2020
89,119,Ball Corp.,United States,1080,740,11781,0.09167303284950344,1221.7875571492145,847.4776944255235,2020
90,98,Teledyne Technologies,United States,1050,970,3086,0.3402462734931951,1187.8490138950697,1110.882923773997,2020
91,97,Amphenol Corp.,United States,1030,990,8559,0.12034116135062507,1165.2233183923065,1133.7877263260382,2020
92,73,United Launch Alliance,United States,1020,1430,2000,0.51,1153.9104706409248,1637.693382470944,2020
93,102,Howmet Aerospace,United States,1020,890,5259,0.1939532230462065,1153.9104706409248,1019.2637135658323,2020
94,99,The Aerospace Corp.,United States,1000,950,1150,0.8695652173913043,1131.2847751381616,1087.9781212219557,2020
95,88,Meggitt,United Kingdom,980,1050,2159,0.4539138490041686,1054.2690015584626,1146.600918777876,2020
96,93,ViaSat,United States,960,1020,2256,0.425531914893617,1086.033384132635,1168.1449301541,2020
97,83,Austal,Australia,920,1160,1084,0.8487084870848709,1015.7953441822626,1278.2983493055071,2020
98,101,Mitsubishi Electric Corp.,Japan,920,950,39261,0.023432923257176334,760.9396993313155,802.2011574669842,2020
99,95,CAE,Canada,910,1000,2224,0.4091726618705036,1036.3928670067405,1135.0838579292024,2020
100,116,Mercury Systems,United States,910,760,924,0.9848484848484849,1029.469145375727,870.3824969775646,2020
1,1,Lockheed Martin Corp.,United States,53230,47260,59812,0.889955192937872,60961.131992257586,55104.889889268765,2019
2,2,Boeing,United States,32450,32120,76559,0.42385611097323633,37163.042140686804,37451.73642072181,2019
3,3,Northrop Grumman Corp.,United States,29220,26190,33841,0.8634496616530244,33463.91652853216,30537.390313160155,2019
4,4,General Dynamics Corp.,United States,26560,24380,39350,0.6749682337992376,30417.57778911068,28426.940658069667,2019
5,5,Raytheon,United States,25320,23440,29176,0.8678365780093227,28997.480030884126,27330.90603056411,2019
6,6,BAE Systems,United Kingdom,23330,22590,24469,0.9534513057337856,25476.380414369374,23996.09002832787,2019
7,7,Rostec,Russia,18860,18340,27382,0.6887736469213351,21916.76967682744,21587.51002089766,2019
8,8,AVIC,China,16710,16580,66846,0.24997756036262453,18128.533155110854,17727.389797685788,2019
9,10,NORINCO,China,15580,14880,68719,0.22672041211309826,16902.60601775147,15909.744281638392,2019
10,11,CETC,China,15090,13860,32951,0.4579527176716943,16371.00929447174,14819.156972009954,2019
11,9,CASC,China,14480,15010,36211,0.39987848996161385,15709.225618552073,16048.740703453781,2019
12,-,L3Harris Technologies,United States,13920,. .,18074,0.770167090848733,15941.742576220657,. .,2019
13,17,United Technologies Corp.,United States,13100,9310,77046,0.17002829478493367,15002.64567158697,10855.40678944334,2019
14,12,CASIC,China,11850,11770,37607,0.31510091206424334,12855.961573193514,12584.522190516389,2019
15,13,Airbus,Trans-European,11290,11650,78905,0.1430834547874026,11694.299561845195,11592.384926119907,2019
16,14,Leonardo,Italy,11110,9820,15432,0.7199326075686885,11546.553311479549,9739.775275825255,2019
17,15,Almaz-Antey,Russia,9420,9640,9657,0.9754582168375272,10946.764069762168,11346.97909495384,2019
18,16,Thales,France,9390,9440,20601,0.45580311635357507,9532.227334398962,9190.518618778617,2019
19,19,Huntington Ingalls Industries,United States,7740,7200,8899,0.8697606472637375,8864.158587639935,8395.158848978737,2019
20,22,Leidos,United States,6300,5000,11094,0.5678745267712277,7215.01280389297,5829.971422901901,2019
21,20,CSIC,China,6190,6920,41261,0.1500206005671215,6715.476973676611,7398.8864535576395,2019
22,42,Dassault Aviation Groupe,France,5760,2930,8219,0.7008151843289938,5847.244882442814,2852.565630616668,2019
23,21,Honeywell International,United States,5330,5430,36709,0.14519600098068594,6104.129880118973,6331.348965271464,2019
24,25,Booz Allen Hamilton,United States,5140,4680,7464,0.6886387995712755,5886.5342558745815,5456.853251836179,2019
25,-,EDGE,United Arab Emirates,4750,. .,5000,0.95,5044.7749740989075,. .,2019
26,26,Rolls-Royce,United Kingdom,4710,4680,19732,0.2386985607135617,5143.324121375043,4971.301519812945,2019
27,28,CSGC,China,4610,4210,28547,0.16148807230181805,5001.348763917476,4501.3456603291415,2019
28,24,United Shipbuilding Corp.,Russia,4500,4700,5416,0.8308714918759232,5229.345893198488,5532.240845050109,2019
29,29,General Electric,United States,4390,4100,95200,0.04611344537815126,5027.604160173038,4780.576566779559,2019
30,27,Naval Group,France,4110,4220,4156,0.9889316650625601,4172.252858826383,4108.473365598068,2019
31,31,MBDA,Trans-European,4100,3780,4146,0.9889049686444766,4246.822692964154,3761.3060103633693,2019
32,37,Elbit Systems,Israel,4060,3320,4508,0.9006211180124224,4544.528953659874,3775.540296851218,2019
33,35,CACI International,United States,4000,3490,5720,0.6993006993006993,4580.960510408235,4069.320053185527,2019
34,30,Rheinmetall,Germany,3940,3800,7003,0.5626160217049836,4161.495208510011,3862.0944174566466,2019
35,32,Mitsubishi Heavy Industries,Japan,3910,3620,37070,0.1054761262476396,3301.6910796799034,3109.569221314825,2019
36,39,Safran,France,3550,3240,27586,0.12868846516348872,3603.770717477776,3154.372915767237,2019
37,33,Tactical Missiles Corp.,Russia,3480,3580,3548,0.9808342728297632,4044.027490740164,4213.91962239987,2019
